iter	Passed	Remaining
254	769	2248
255	770	2240
256	772	2233
257	773	2225
258	775	2218
259	777	2211
260	781	2213
261	783	2206
262	784	2199
263	786	2191
264	787	2184
265	789	2179
266	791	2173
267	794	2169
268	795	2162
269	797	2155
270	798	2148
271	800	2142
272	801	2135
273	803	2128
274	806	2125
275	808	2119
276	809	2112
277	810	2105
278	812	2100
279	814	2093
280	815	2086
281	819	2085
282	822	2082
283	823	2076
284	825	2071
285	827	2066
286	831	2066
287	834	2062
288	835	2056
289	837	2049
290	838	2043
291	840	2037
292	841	2031
293	844	2027
294	846	2022
295	847	2016
296	849	2009
297	850	2004
298	852	1998
299	853	1992
300	857	1991
301	859	1986
302	860	1979
303	861	1973
304	863	1967
305	865	1961
306	866	1956
307	867	1950
308	870	1946
309	871	1940
310	873	1934
311	877	1934
312	878	1928
313	879	1922
314	883	1920
315	885	1916
316	886	1910
317	888	1905
318	890	1900
319	891	1894
320	893	1889
321	895	1884
322	896	1879
323	898	1873
324	899	1868
325	902	1865
326	904	1860
327	905	1855
328	907	1851
329	910	1848
330	911	1842
331	913	1837
332	914	1832
333	916	1827
334	921	1829
335	923	1824
336	924	1819
337	925	1813
338	927	1808
339	929	1803
340	930	1797
341	932	1794
342	934	1790
343	936	1785
344	938	1781
345	940	1776
346	941	1771
347	942	1766
348	945	1763
349	947	1759
350	948	1753
351	950	1748
352	951	1744
353	953	1739
354	954	1733
355	958	1733
356	960	1730
357	961	1725
358	963	1720
359	965	1716
360	966	1711
361	968	1707
362	970	1703
363	972	1699
364	974	1695
365	976	1691
366	977	1686
367	979	1681
368	981	1678
369	983	1673
370	984	1669
371	985	1664
372	987	1659
373	988	1655
374	993	1655
375	995	1651
376	997	1647
377	998	1642
378	999	1638
379	1001	1633
380	1002	1629
381	1005	1627
382	1008	1624
383	1009	1620
384	1011	1615
385	1012	1611
386	1014	1607
387	1016	1603
388	1019	1601
389	1021	1597
390	1022	1592
391	1024	1588
392	1025	1584
393	1027	1580
394	1029	1576
395	1032	1574
396	1033	1570
397	1035	1566
398	1037	1562
399	1038	1557
400	1040	1554
401	1043	1552
402	1045	1549
403	1047	1545
404	1048	1540
405	1049	1536
406	1051	1532
407	1053	1527
408	1055	1525
409	1057	1521
410	1058	1517
411	1060	1513
412	1062	1509
413	1063	1505
414	1065	1501
415	1069	1502
416	1071	1497
417	1072	1493
418	1074	1489
419	1076	1486
420	1077	1482
421	1079	1478
422	1081	1475
423	1083	1471
424	1084	1467
425	1086	1463
426	1087	1459
427	1116	1492
428	1119	1489
429	1121	1486
430	1123	1482
431	1124	1478
432	1126	1474
433	1128	1471
434	1129	1467
435	1131	1463
436	1133	1460
437	1135	1457
438	1137	1453
439	1142	1454
440	1144	1450
441	1146	1447
442	1148	1444
443	1150	1440
444	1152	1437
